callsign,name,band,freq_tx,freq_rx,ctcss_tx,ctcss_rx,c4fm,dmr,dmr_id,dmr_cc,dstar,dstar_rpt1,dstar_rpt2,fm,landmark,state,country,country_code,loc_exact,lat,long,locator,sea_level,skip,scan_group,source_id,source_name,source_provider,source_type,source_license,source_url,offset,dup,ctcss,simplex,split,multimode,name_formatted,distance,heading
,VM1,radio,90.3,90.3,,,False,False,,,False,,,True,Plabutsch Lüftungsturm Nord,Steiermark,Austria,AUT,True,47.071944,15.379444,JN77QB,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,oe24,radio,90.4,90.4,,,False,False,,,False,,,True,Mobilfunkmast,Oberösterreich,Austria,AUT,True,48.033056,14.435278,JN78FA,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Kronehit,radio,90.5,90.5,,,False,False,,,False,,,True,Unterlindach Schacherbauer,Oberösterreich,Austria,AUT,True,48.111389,13.124444,JN68NC,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Ö1,radio,90.6,90.6,,,False,False,,,False,,,True,Hirschenstein,Burgenland,Austria,AUT,True,47.345278,16.379167,JN87EI,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,U1 T,radio,90.7,90.7,,,False,False,,,False,,,True,Patscherkofel Feratel,Tirol,Austria,AUT,True,47.208056,11.461111,JN57RE,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,ENERGY,radio,90.8,90.8,,,False,False,,,False,,,True,Raiffeisen Silo,Niederösterreich,Austria,AUT,True,47.957222,16.307222,JN87DW,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Ö1,radio,90.9,90.9,,,False,False,,,False,,,True,Lampelsberg,Niederösterreich,Austria,AUT,True,48.002778,15.138056,JN78NA,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Ö1,radio,91.0,91.0,,,False,False,,,False,,,True,Griesfeld,Niederösterreich,Austria,AUT,True,47.941111,16.095,JN87BW,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,ENERGY,radio,91.1,91.1,,,False,False,,,False,,,True,Mobilfunk,Niederösterreich,Austria,AUT,True,48.471667,16.435,JN88FL,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Life  (T),radio,91.2,91.2,,,False,False,,,False,,,True,Brändleweg 3,Tirol,Austria,AUT,True,46.973889,11.006944,JN56MX,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Radieschen,radio,91.3,91.3,,,False,False,,,False,,,True,Währinger Gürtel,Wien,Austria,AUT,True,48.227222,16.349167,JN88EF,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Kronehit,radio,91.4,91.4,,,False,False,,,False,,,True,Penzenstein,Oberösterreich,Austria,AUT,True,48.506389,13.743889,JN68UM,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Kronehit,radio,91.5,91.5,,,False,False,,,False,,,True,Gebhardsberg,Vorarlberg,Austria,AUT,True,47.490833,9.746111,JN47UL,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Kronehit,radio,91.6,91.6,,,False,False,,,False,,,True,Wagna Krainer,Steiermark,Austria,AUT,True,46.770556,15.564722,JN76SS,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,oe24,radio,91.7,91.7,,,False,False,,,False,,,True,Waltersdorfer Straße,Niederösterreich,Austria,AUT,True,48.002222,16.244444,JN88CA,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Maria Österreich,radio,91.8,91.8,,,False,False,,,False,,,True,Bürserberg,Vorarlberg,Austria,AUT,True,47.159167,9.780833,JN47VD,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Ö1,radio,91.9,91.9,,,False,False,,,False,,,True,Loferstein,Salzburg,Austria,AUT,True,47.298889,12.472778,JN67FH,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,oe24,radio,92.0,92.0,,,False,False,,,False,,,True,Egg Mobilfunkmast,Kärnten,Austria,AUT,True,46.723889,13.154167,JN66NR,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Antenne T,radio,92.1,92.1,,,False,False,,,False,,,True,Schlotthof,Tirol,Austria,AUT,True,47.270278,11.374722,JN57QG,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Kronehit,radio,92.2,92.2,,,False,False,,,False,,,True,Mobilfunkmast,Oberösterreich,Austria,AUT,True,48.033056,14.435278,JN78FA,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Kronehit,radio,92.3,92.3,,,False,False,,,False,,,True,,Salzburg,Austria,AUT,True,47.832778,13.073056,JN67MT,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,FM4,radio,92.4,92.4,,,False,False,,,False,,,True,Sonnwendstein,Niederösterreich,Austria,AUT,True,47.629444,15.858333,JN77WP,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Ö1,radio,92.5,92.5,,,False,False,,,False,,,True,,Niederösterreich,Austria,AUT,True,47.900833,15.729722,JN77UV,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Agora,radio,92.6,92.6,,,False,False,,,False,,,True,Fernheizwerk,Steiermark,Austria,AUT,True,46.686944,16.013056,JN86AQ,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Proton,radio,92.7,92.7,,,False,False,,,False,,,True,Gebhardsberg,Vorarlberg,Austria,AUT,True,47.490833,9.746111,JN47UL,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,OP,radio,92.8,92.8,,,False,False,,,False,,,True,Siloanlage,Burgenland,Austria,AUT,True,47.604167,16.620833,JN87HO,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,oe24,radio,92.9,92.9,,,False,False,,,False,,,True,Wildenkarkogel,Salzburg,Austria,AUT,True,47.401389,12.686667,JN67IJ,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Kronehit,radio,93.0,93.0,,,False,False,,,False,,,True,Getzing,Oberösterreich,Austria,AUT,True,48.536111,13.995278,JN68XM,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Ö2 NÖ,radio,93.1,93.1,,,False,False,,,False,,,True,Königsberg,Niederösterreich,Austria,AUT,True,47.58,16.121111,JN87BN,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Superfly,radio,93.2,93.2,,,False,False,,,False,,,True,Schildberg,Niederösterreich,Austria,AUT,True,48.213056,15.711944,JN78UF,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Ö2 S,radio,93.3,93.3,,,False,False,,,False,,,True,Buchberg,Salzburg,Austria,AUT,True,47.562222,13.430278,JN67RN,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,oe24,radio,93.4,93.4,,,False,False,,,False,,,True,Stifterkogel,Kärnten,Austria,AUT,True,46.576667,14.297222,JN76DN,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Ö2 B,radio,93.5,93.5,,,False,False,,,False,,,True,Hirschenstein,Burgenland,Austria,AUT,True,47.345278,16.379167,JN87EI,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
