callsign,name,band,freq_tx,freq_rx,ctcss_tx,ctcss_rx,c4fm,dmr,dmr_id,dmr_cc,dstar,dstar_rpt1,dstar_rpt2,fm,landmark,state,country,country_code,loc_exact,lat,long,locator,sea_level,skip,scan_group,source_id,source_name,source_provider,source_type,source_license,source_url,offset,dup,ctcss,simplex,split,multimode,name_formatted,distance,heading
OE/OO-448,Angelmauer,,,,,,False,False,,,False,,,False,,Oberösterreich,Austria,AUT,True,47.7342,14.1063,JN77BR,2103,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/OO-448,,
OE/ST-435,Angerkogel,,,,,,False,False,,,False,,,False,,Steiermark,Austria,AUT,True,47.6179,14.2283,JN77CO,2114,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/ST-435,,
OE/KT-008,Ankogel,,,,,,False,False,,,False,,,False,,Kärnten,Austria,AUT,True,47.0511,13.2486,JN67OB,3252,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/KT-008,,
OE/OO-356,Annasberg,,,,,,False,False,,,False,,,False,,Oberösterreich,Austria,AUT,True,47.8694,14.2972,JN77DU,1172,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/OO-356,,
OE/NO-204,Anninger,,,,,,False,False,,,False,,,False,,Niederösterreich,Austria,AUT,True,48.0472,16.2442,JN88CB,675,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/NO-204,,
OE/KT-363,Aplitschberg,,,,,,False,False,,,False,,,False,,Kärnten,Austria,AUT,True,46.8009,14.0525,JN76AT,1221,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/KT-363,,
OE/VB-526,Ardetzenberg,,,,,,False,False,,,False,,,False,,Vorarlberg,Austria,AUT,True,47.2517,9.6025,JN47TG,631,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/VB-526,,
OE/SB-456,Arlstein,,,,,,False,False,,,False,,,False,,Salzburg,Austria,AUT,True,47.5572,13.3261,JN67PN,913,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/SB-456,,
OE/TI-854,Arnhoerner-Noerdl,,,,,,False,False,,,False,,,False,,Tirol,Austria,AUT,True,46.8456,12.5045,JN66GU,2793,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/TI-854,,
OE/TL-003,Arnplattenspitze,,,,,,False,False,,,False,,,False,,Tirol,Austria,AUT,True,47.3925,11.2092,JN57OJ,2171,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/TL-003,,
OE/TL-037,Arntalköpfle,,,,,,False,False,,,False,,,False,,Tirol,Austria,AUT,True,47.3942,11.2467,JN57OJ,1529,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/TL-037,,
OE/TI-803,Arventalspitze,,,,,,False,False,,,False,,,False,,Tirol,Austria,AUT,True,47.0083,12.1233,JN67BA,3083,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/TI-803,,
OE/TL-044,Aschauhörndl,,,,,,False,False,,,False,,,False,,Tirol,Austria,AUT,True,47.5175,11.8775,JN57WM,1282,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/TL-044,,
OE/SB-430,Aschegg,,,,,,False,False,,,False,,,False,,Salzburg,Austria,AUT,True,47.3699,13.2913,JN67PI,1622,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/SB-430,,
OE/TI-990,Aserlespitze,,,,,,False,False,,,False,,,False,,Tirol,Austria,AUT,True,47.34,10.7567,JN57JI,2337,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/TI-990,,
OE/SB-192,Asitzkopf,,,,,,False,False,,,False,,,False,,Salzburg,Austria,AUT,True,47.4028,12.7025,JN67IJ,1914,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/SB-192,,
OE/KT-305,Astromspitz,,,,,,False,False,,,False,,,False,,Kärnten,Austria,AUT,True,46.9907,13.0831,JN66MX,2811,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/KT-305,,
OE/ST-551,Augstein,,,,,,False,False,,,False,,,False,,Steiermark,Austria,AUT,True,47.6034,14.5468,JN77GO,1370,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/ST-551,,
OE/TI-863,Augustenbergkopf,,,,,,False,False,,,False,,,False,,Tirol,Austria,AUT,True,47.0775,10.2408,JN57CB,2881,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/TI-863,,
OE/OO-445,Augustinkogel,,,,,,False,False,,,False,,,False,,Oberösterreich,Austria,AUT,True,47.7342,14.3919,JN77ER,1335,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/OO-445,,
OE/TI-643,B'schießer,,,,,,False,False,,,False,,,False,,Tirol,Austria,AUT,True,47.4878,10.4406,JN57FL,1998,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/TI-643,,
OE/KT-388,Baba,,,,,,False,False,,,False,,,False,,Kärnten,Austria,AUT,True,46.3794,14.556,JN76GJ,2127,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/KT-388,,
OM/KE-002,Babiná,,,,,,False,False,,,False,,,False,,Košický,Slovakia,SVK,True,48.8302,20.4627,KN08FT,1278,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OM/KE-002,,
OM/PO-024,Bachureň,,,,,,False,False,,,False,,,False,,Prešovský,Slovakia,SVK,True,49.0905,20.9228,KN09LC,1081,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OM/PO-024,,
OE/NO-279,Badner Lindkogel,,,,,,False,False,,,False,,,False,,Niederösterreich,Austria,AUT,True,48.0078,16.1847,JN88CA,582,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/NO-279,,
OE/ST-556,Baierhubermauer,,,,,,False,False,,,False,,,False,,Steiermark,Austria,AUT,True,47.4441,14.6992,JN77IK,1335,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/ST-556,,
OE/TI-151,Ballunspitze,,,,,,False,False,,,False,,,False,,Tirol,Austria,AUT,True,46.9553,10.135,JN56BW,2671,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/TI-151,,
OE/KT-384,Bannwald,,,,,,False,False,,,False,,,False,,Kärnten,Austria,AUT,True,46.6461,14.1561,JN76BP,701,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/KT-384,,
OM/ZA-004,Baníkov,,,,,,False,False,,,False,,,False,,Žilinský,Slovakia,SVK,True,49.1981,19.7098,JN99UE,2178,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OM/ZA-004,,
OM/ZA-003,Baranec,,,,,,False,False,,,False,,,False,,Žilinský,Slovakia,SVK,True,49.1734,19.741,JN99UE,2184,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OM/ZA-003,,
OM/PO-077,Barvienok,,,,,,False,False,,,False,,,False,,Prešovský,Slovakia,SVK,True,49.3068,21.1671,KN09OH,591,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OM/PO-077,,
OM/TN-032,Baske,,,,,,False,False,,,False,,,False,,Trenciansky,Slovakia,SVK,True,48.8801,18.2579,JN98DV,954,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OM/TN-032,,
OE/ST-532,Bauernalpl,,,,,,False,False,,,False,,,False,,Steiermark,Austria,AUT,True,47.1988,14.3801,JN77EE,1723,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/ST-532,,
OE/ST-021,Bauleiteck,,,,,,False,False,,,False,,,False,,Steiermark,Austria,AUT,True,47.2711,13.9692,JN67XG,2424,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/ST-021,,
OE/NO-292,Baumeckkogel,,,,,,False,False,,,False,,,False,,Niederösterreich,Austria,AUT,True,47.7964,15.7297,JN77UT,972,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/NO-292,,
OE/SB-355,Baumgartgeier,,,,,,False,False,,,False,,,False,,Salzburg,Austria,AUT,True,47.2769,12.1469,JN67BG,2392,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/SB-355,,
OE/SB-024,Baumgartlkopf,,,,,,False,False,,,False,,,False,,Salzburg,Austria,AUT,True,47.1392,12.8439,JN67KD,2623,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/SB-024,,
OM/PO-084,Baňa,,,,,,False,False,,,False,,,False,,Prešovský,Slovakia,SVK,True,49.2149,21.5949,KN09TF,523,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OM/PO-084,,
OE/OO-389,Beerwurzkogel,,,,,,False,False,,,False,,,False,,Oberösterreich,Austria,AUT,True,47.5247,13.5653,JN67SM,2006,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/OO-389,,
OE/TI-265,Bentlstein,,,,,,False,False,,,False,,,False,,Tirol,Austria,AUT,True,47.1033,11.5222,JN57SC,2436,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/TI-265,,
OE/SB-152,Benzegg,,,,,,False,False,,,False,,,False,,Salzburg,Austria,AUT,True,47.2647,13.395,JN67QG,2075,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/SB-152,,
OE/TI-899,Berger Kogel,,,,,,False,False,,,False,,,False,,Tirol,Austria,AUT,True,46.9944,12.3822,JN66EX,2656,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/TI-899,,
OE/SB-260,Bergköpfel,,,,,,False,False,,,False,,,False,,Salzburg,Austria,AUT,True,47.6894,13.2731,JN67PQ,1480,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/SB-260,,
OE/OO-030,Bergwerkskogel,,,,,,False,False,,,False,,,False,,Oberösterreich,Austria,AUT,True,47.6761,13.5089,JN67SQ,1781,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/OO-030,,
OE/TI-916,Bergwerkskopf,,,,,,False,False,,,False,,,False,,Tirol,Austria,AUT,True,47.225,10.6092,JN57HF,2728,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/TI-916,,
OE/SB-077,Bernkogel,,,,,,False,False,,,False,,,False,,Salzburg,Austria,AUT,True,47.2489,13.0433,JN67MF,2325,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/SB-077,,
OE/ST-415,Berntalerkogel,,,,,,False,False,,,False,,,False,,Steiermark,Austria,AUT,True,47.3123,15.2648,JN77PH,1177,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/ST-415,,
OE/OO-418,Bertelkogel,,,,,,False,False,,,False,,,False,,Oberösterreich,Austria,AUT,True,47.8983,14.5783,JN77GV,922,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/OO-418,,
OE/VB-260,Bettlerspitze,,,,,,False,False,,,False,,,False,,Vorarlberg,Austria,AUT,True,47.2117,9.9717,JN47XF,2272,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/VB-260,,
OM/BB-005,Beňuška,,,,,,False,False,,,False,,,False,,Banskobystrick,Slovakia,SVK,True,48.8803,19.7328,JN98UV,1542,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OM/BB-005,,
OE/NO-284,Bichleralpe,,,,,,False,False,,,False,,,False,,Niederösterreich,Austria,AUT,True,47.8367,15.3375,JN77QU,1378,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/NO-284,,
OE/NO-262,Bichlhöhe,,,,,,False,False,,,False,,,False,,Niederösterreich,Austria,AUT,True,47.8726,15.0949,JN77NU,955,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/NO-262,,
OE/TI-131,Birkkarspitze,,,,,,False,False,,,False,,,False,,Tirol,Austria,AUT,True,47.4114,11.4375,JN57RJ,2749,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/TI-131,,
OE/SB-023,Birnhorn,,,,,,False,False,,,False,,,False,,Salzburg,Austria,AUT,True,47.4747,12.7339,JN67IL,2634,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/SB-023,,
OE/SB-207,Bischlinghöhe,,,,,,False,False,,,False,,,False,,Salzburg,Austria,AUT,True,47.4628,13.2983,JN67PL,1834,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/SB-207,,
OE/TI-413,Bischof,,,,,,False,False,,,False,,,False,,Tirol,Austria,AUT,True,47.4053,12.5117,JN67GJ,2127,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/TI-413,,
OE/TI-920,Bittrichkopf,,,,,,False,False,,,False,,,False,,Tirol,Austria,AUT,True,47.2167,10.5442,JN57GF,2698,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/TI-920,,
OE/TI-881,Blankahorn,,,,,,False,False,,,False,,,False,,Tirol,Austria,AUT,True,47.175,10.5125,JN57GE,2822,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/TI-881,,
OE/VB-227,Blankuskopf,,,,,,False,False,,,False,,,False,,Vorarlberg,Austria,AUT,True,47.0925,9.6794,JN47UC,2334,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/VB-227,,
OE/ST-123,Blaseneck,,,,,,False,False,,,False,,,False,,Steiermark,Austria,AUT,True,47.4994,14.6189,JN77HL,1969,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/ST-123,,
OE/ST-452,Blasenkogel,,,,,,False,False,,,False,,,False,,Steiermark,Austria,AUT,True,47.112,14.3071,JN77DC,1602,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/ST-452,,
OE/TI-877,Blautalkopf,,,,,,False,False,,,False,,,False,,Tirol,Austria,AUT,True,47.0017,10.4817,JN57FA,2834,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/TI-877,,
OE/SB-253,Bleckwand,,,,,,False,False,,,False,,,False,,Salzburg,Austria,AUT,True,47.6922,13.4464,JN67RQ,1541,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/SB-253,,
