callsign,name,band,freq_tx,freq_rx,ctcss_tx,ctcss_rx,c4fm,dmr,dmr_id,dmr_cc,dstar,dstar_rpt1,dstar_rpt2,fm,landmark,state,country,country_code,loc_exact,lat,long,locator,sea_level,skip,scan_group,source_id,source_name,source_provider,source_type,source_license,source_url,offset,dup,ctcss,simplex,split,multimode,name_formatted,distance,heading,attempts,activations,qsos,grid
AT-0203,Laaer Wald Recreation Park,gps,,,,,False,False,,,False,,,False,AT-WI,Wien,Austria,AT,True,48.1607,16.3964,JN88ed,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-WI,0,,False,True,False,False,AT-0203 Laaer Wald Recreation Park,,,7,6,111,JN88ed
AT-0204,Kurpark Oberlaa Park,gps,,,,,False,False,,,False,,,False,AT-WI,Wien,Austria,AT,True,48.1487,16.4001,JN88ed,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-WI,0,,False,True,False,False,AT-0204 Kurpark Oberlaa Park,,,4,4,178,JN88ed
AT-0213,Donaupark Recreation Park,gps,,,,,False,False,,,False,,,False,AT-WI,Wien,Austria,AT,True,48.2393,16.4115,JN88ef,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-WI,0,,False,True,False,False,AT-0213 Donaupark Recreation Park,,,10,9,194,JN88ef
AT-0281,East Austrian borderland route (07) National Recreation Trail,gps,,,,,False,False,,,False,,,False,"AT-BU,AT-NO,AT-ST,AT-WI",Wien,Austria,AT,True,48.1357,16.6334,JN88hd,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-WI,0,,False,True,False,False,AT-0281 East Austrian borderland route (07) National Recreation Trail,,,34,34,1356,JN88hd
AT-0282,European long-distance hiking trail (E4) National Recreation Trail,gps,,,,,False,False,,,False,,,False,"AT-BU,AT-NO,AT-OO,AT-ST,AT-SZ,AT-TR,AT-VO,AT-WI",Wien,Austria,AT,True,48.0737,16.1617,JN88bb,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-WI,0,,False,True,False,False,AT-0282 European long-distance hiking trail (E4) National Recreation Trail,,,90,88,3795,JN88bb
AT-0283,Lower Austrian state circular hiking trail National Recreation Trail,gps,,,,,False,False,,,False,,,False,"AT-BU,AT-NO,AT-ST,AT-WI",Wien,Austria,AT,True,48.303,15.1015,JN78nh,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-WI,0,,False,True,False,False,AT-0283 Lower Austrian state circular hiking trail National Recreation Trail,,,71,68,3423,JN78nh
AT-0316,Lobau Nature Reserve,gps,,,,,False,False,,,False,,,False,AT-WI,Wien,Austria,AT,True,48.1887,16.5127,JN88ge,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-WI,0,,False,True,False,False,AT-0316 Lobau Nature Reserve,,,31,22,653,JN88ge
SG-0002,Ang Mo Kio Town Garden East National Park,gps,,,,,False,False,,,False,,,False,SG-CS,Central Singapore,Singapore,SG,True,1.3707,103.85,OJ11wi,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/SG-CS,0,,False,True,False,False,SG-0002 Ang Mo Kio Town Garden East National Park,,,2,2,26,OJ11wi
SG-0003,Ang Mo Kio Town Garden West National Park,gps,,,,,False,False,,,False,,,False,SG-CS,Central Singapore,Singapore,SG,True,1.3744,103.843,OJ11wi,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/SG-CS,0,,False,True,False,False,SG-0003 Ang Mo Kio Town Garden West National Park,,,25,22,457,OJ11wi
SG-0014,Bishan-Ang Mo Kio Park National Park,gps,,,,,False,False,,,False,,,False,SG-CS,Central Singapore,Singapore,SG,True,1.3636,103.842,OJ11wi,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/SG-CS,0,,False,True,False,False,SG-0014 Bishan-Ang Mo Kio Park National Park,,,2,2,25,OJ11wi
SG-0017,Fort Canning Park National Historical Park,gps,,,,,False,False,,,False,,,False,SG-CS,Central Singapore,Singapore,SG,True,1.2945,103.846,OJ11wh,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/SG-CS,0,,False,True,False,False,SG-0017 Fort Canning Park National Historical Park,,,1,1,28,OJ11wh
SG-0026,Kallang Riverside Park National Park,gps,,,,,False,False,,,False,,,False,SG-CS,Central Singapore,Singapore,SG,True,1.307,103.868,OJ11wh,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/SG-CS,0,,False,True,False,False,SG-0026 Kallang Riverside Park National Park,,,6,6,125,OJ11wh
SG-0031,Lower Peirce Reservoir Park National Park,gps,,,,,False,False,,,False,,,False,SG-CS,Central Singapore,Singapore,SG,True,1.372,103.826,OJ11vi,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/SG-CS,0,,False,True,False,False,SG-0031 Lower Peirce Reservoir Park National Park,,,2,2,25,OJ11vi
SG-0033,MacRitchie Reservoir Park National Park,gps,,,,,False,False,,,False,,,False,SG-CS,Central Singapore,Singapore,SG,True,1.3448,103.822,OJ11vi,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/SG-CS,0,,False,True,False,False,SG-0033 MacRitchie Reservoir Park National Park,,,1,1,24,OJ11vi
SG-0035,Mount Faber Park National Park,gps,,,,,False,False,,,False,,,False,SG-CS,Central Singapore,Singapore,SG,True,1.2738,103.817,OJ11vg,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/SG-CS,0,,False,True,False,False,SG-0035 Mount Faber Park National Park,,,5,5,119,OJ11vg
SG-0036,Singapore Botanic Gardens National Park,gps,,,,,False,False,,,False,,,False,SG-CS,Central Singapore,Singapore,SG,True,1.3117,103.815,OJ11vh,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/SG-CS,0,,False,True,False,False,SG-0036 Singapore Botanic Gardens National Park,,,4,4,48,OJ11vh
SG-0038,Pearl's Hill City Park National Park,gps,,,,,False,False,,,False,,,False,SG-CS,Central Singapore,Singapore,SG,True,1.2847,103.84,OJ11wg,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/SG-CS,0,,False,True,False,False,SG-0038 Pearl's Hill City Park National Park,,,3,3,60,OJ11wg
SG-0044,Sengkang Riverside Park National Park,gps,,,,,False,False,,,False,,,False,SG-CS,Central Singapore,Singapore,SG,True,1.3982,103.884,OJ11wj,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/SG-CS,0,,False,True,False,False,SG-0044 Sengkang Riverside Park National Park,,,22,21,474,OJ11wj
SG-0051,Tiong Bahru Park National Park,gps,,,,,False,False,,,False,,,False,SG-CS,Central Singapore,Singapore,SG,True,1.2874,103.825,OJ11vg,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/SG-CS,0,,False,True,False,False,SG-0051 Tiong Bahru Park National Park,,,3,3,38,OJ11vg
